host_response_rate,host_acceptance_rate,host_neighbourhood,host_total_listings_count,host_has_profile_pic,host_identity_verified,host_is_superhost
0.17,0.00,Streeterville,1.00,t,t,f
0.95,0.74,Portage Park,5.00,t,t,t
1.00,1.00,South Loop/Printers Row,1.00,t,t,t
N/A,N/A,Wicker Park,1.00,t,t,f
N/A,N/A,Kenwood,1.00,t,f,f
0.80,0.48,Lincoln Park,5.00,t,f,f
0.80,0.48,Lincoln Park,5.00,t,f,f
1.00,0.92,Old Town,10.00,t,t,t
N/A,N/A,South Loop/Printers Row,1.00,t,f,f
1.00,0.89,Ukrainian Village,1.00,t,t,f
1.00,0.88,Grand Crossing,2.00,t,t,f
1.00,1.00,Brighton Park,1.00,t,t,f
1.00,N/A,Calumet Heights,1.00,t,t,f
1.00,0.94,,1.00,t,t,f
0.80,0.25,Englewood,1.00,t,t,f
N/A,N/A,Gold Coast,1.00,t,t,f
N/A,N/A,Lakeview,4.00,t,t,f
0.83,0.39,River North,10.00,t,f,t
1.00,0.83,,1.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
0.56,0.40,Kenwood,1.00,t,t,f
1.00,0.64,Bronzeville,5.00,t,t,f
N/A,N/A,Gold Coast,1.00,t,t,f
1.00,0.53,Loop,97.00,t,t,t
1.00,0.00,,1.00,t,t,f
0.88,1.00,South Loop/Printers Row,1.00,t,t,f
1.00,1.00,Burnside,2.00,t,t,f
1.00,1.00,,2.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,1.00,Douglas,0.00,t,f,t
0.00,0.00,West Town,0.00,t,t,f
1.00,0.93,Lakeview,2.00,t,t,f
0.00,1.00,West Town,0.00,t,t,f
1.00,0.75,West Town,1.00,t,f,f
N/A,N/A,,1.00,t,t,f
1.00,1.00,Garfield Park,1.00,t,t,f
1.00,0.89,West Town,1.00,t,t,t
1.00,0.86,West Town,2.00,t,t,f
1.00,1.00,Lincoln Park,2.00,t,t,f
0.10,0.25,River North,1.00,t,t,f
0.90,0.80,West Pullman,1.00,t,t,f
1.00,1.00,West Town,0.00,t,f,f
0.97,0.97,Armour Square,2.00,t,t,f
N/A,1.00,North Center,1.00,t,t,f
1.00,0.92,Uptown,2.00,t,t,t
N/A,N/A,Lakeview,1.00,t,t,f
1.00,0.85,Logan Square,1.00,t,t,f
0.82,1.00,Lakeview,1.00,t,t,t
N/A,0.71,Little Italy/UIC,1.00,t,t,t
1.00,0.80,South Shore,6.00,t,t,f
1.00,1.00,Roscoe Village,2.00,t,f,f
1.00,0.90,Roscoe Village,0.00,t,t,t
N/A,N/A,River North,1.00,t,t,f
N/A,N/A,,1.00,t,f,f
N/A,N/A,Wicker Park,1.00,t,t,f
N/A,N/A,Brighton Park,4.00,t,t,t
0.91,0.98,Lincoln Park,17.00,t,t,f
0.40,0.29,Loop,2.00,t,t,f
N/A,0.00,,6.00,t,t,f
1.00,0.92,River North,35.00,t,t,f
1.00,0.62,Back of the Yards,3.00,t,t,f
0.80,1.00,,1.00,t,f,f
1.00,1.00,Lakeview,0.00,t,t,f
0.63,0.70,Lincoln Park,4.00,t,f,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.80,South Shore,6.00,t,t,f
1.00,0.12,Streeterville,0.00,t,t,f
N/A,0.80,Chicago Loop,1.00,t,f,f
1.00,0.80,River North,0.00,t,t,t
1.00,0.94,Irving Park,0.00,t,f,f
1.00,0.81,Lake View East,17.00,t,t,f
1.00,0.79,Beverly Heights,71.00,t,t,f
1.00,0.86,Lakeview,1.00,t,t,t
0.99,0.74,Shaw,68.00,t,f,f
1.00,1.00,Wicker Park,1.00,t,t,f
0.94,0.86,West Ridge,3.00,t,t,f
1.00,0.94,,1.00,t,t,t
1.00,0.99,Washington Park,1.00,t,t,f
N/A,N/A,,1.00,t,t,f
1.00,0.97,Uptown,1.00,t,f,t
0.80,0.83,West Town,0.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.81,Lake View East,17.00,t,t,f
1.00,0.98,Avondale,2.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,1.00,Near South Side,1.00,t,t,f
N/A,N/A,Wicker Park,1.00,t,t,t
1.00,0.92,Humboldt Park,1.00,t,f,f
0.90,0.93,,2.00,t,t,f
1.00,0.92,Bridgeport,2.00,t,f,f
0.50,0.99,Loop,2.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.98,Old Town,2.00,t,t,t
1.00,0.96,Lower West Side,1.00,t,t,t
1.00,1.00,Lincoln Park,2.00,t,f,f
N/A,N/A,Sheridan Park,14.00,t,f,f
1.00,0.90,Ukrainian Village,2.00,t,t,t
1.00,1.00,Lakeview,2.00,t,t,t
1.00,1.00,Logan Square,1.00,t,t,f
N/A,N/A,Streeterville,1.00,t,t,f
1.00,0.93,West Town,1.00,t,t,t
1.00,0.89,,0.00,t,t,t
1.00,1.00,Wicker Park,2.00,t,t,t
0.90,0.98,Rogers Park,2.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.79,Beverly Heights,71.00,t,t,f
1.00,0.81,Lake View East,95.00,t,t,f
1.00,0.75,Lakeview,0.00,t,t,f
1.00,0.50,West Loop/Greektown,3.00,t,f,t
0.83,0.38,River North,35.00,t,f,f
1.00,0.97,West Town/Noble Square,1.00,t,t,t
0.95,0.83,Lakeview,2.00,t,t,t
1.00,1.00,Lincoln Park,2.00,t,t,t
1.00,1.00,Near West Side,1.00,t,t,t
N/A,N/A,,1.00,t,t,f
1.00,0.99,Edgewater,21.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.92,Portage Park,0.00,t,f,f
1.00,0.87,,0.00,t,t,f
1.00,0.80,River North,0.00,t,t,t
1.00,0.80,River North,0.00,t,t,t
1.00,1.00,Lincoln Park,0.00,t,t,f
0.93,0.98,Near South Side,0.00,t,f,t
1.00,1.00,Irving Park,0.00,t,t,f
1.00,0.96,Near South Side,2.00,t,t,f
N/A,1.00,South Loop/Printers Row,1.00,t,t,t
1.00,1.00,,1.00,t,f,t
1.00,0.92,River North,35.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.75,Bucktown,1.00,t,t,f
0.99,0.76,Hyde Park,24.00,t,t,f
1.00,0.81,Lake View East,95.00,t,t,f
1.00,0.81,Lake View East,95.00,t,t,f
1.00,0.81,Lake View East,95.00,t,t,f
1.00,0.95,Lakeview,1.00,t,t,f
1.00,0.06,Lincoln Park,2.00,t,t,f
1.00,0.99,Albany Park,1.00,t,t,t
0.98,0.86,Logan Square,9.00,t,t,t
0.96,0.95,Loop,10.00,t,t,f
0.91,0.99,Financial District,127.00,t,t,f
1.00,0.96,Bronzeville,2.00,t,t,f
1.00,1.00,Magnolia Glen,3.00,t,t,t
N/A,N/A,,1.00,t,f,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.94,Greater Grand Crossing,2.00,t,t,t
1.00,0.84,Central Minneapolis,93.00,t,t,f
N/A,N/A,Orange,0.00,t,f,f
1.00,0.84,Central Minneapolis,93.00,t,t,f
1.00,0.79,Beverly Heights,71.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.98,Edgewater,52.00,t,t,t
0.86,0.82,Logan Square,10.00,t,t,f
1.00,0.96,North Center,1.00,t,t,t
1.00,1.00,Logan Square,294.00,t,t,f
1.00,0.92,River North,35.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.84,Central Minneapolis,93.00,t,t,f
1.00,0.99,Bridgeport,1.00,t,t,t
0.91,0.99,Financial District,127.00,t,t,f
1.00,0.92,River North,35.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.98,Dunning,4.00,t,t,t
1.00,0.92,West Town/Noble Square,1.00,t,t,f
N/A,1.00,Edgewater,2.00,t,t,f
1.00,0.83,Bridgeport,1.00,t,t,t
1.00,1.00,Sauganash,1.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.86,0.82,Logan Square,10.00,t,t,f
1.00,0.80,South Shore,6.00,t,t,f
N/A,N/A,Little Italy/UIC,0.00,t,t,t
0.90,0.91,Uptown,0.00,t,t,t
0.91,0.99,Financial District,127.00,t,t,f
1.00,0.89,Lincoln Park,1.00,t,t,f
1.00,0.88,West Town,7.00,t,t,f
1.00,0.88,West Town,7.00,t,t,f
1.00,0.88,West Town,7.00,t,t,f
1.00,0.88,West Town,7.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.90,1.00,Bucktown,0.00,f,f,f
0.90,1.00,Bucktown,0.00,f,f,f
0.99,0.81,Lake View East,40.00,t,t,f
0.75,0.00,Bucktown,2.00,t,t,t
1.00,0.81,Old Town,2.00,t,t,f
N/A,N/A,Andersonville,2.00,t,t,t
1.00,1.00,Humboldt Park,1.00,t,t,t
1.00,0.68,Logan Square,5.00,t,t,t
1.00,0.89,South Shore,2.00,t,t,f
1.00,1.00,Chinatown,21.00,t,t,t
1.00,1.00,Chinatown,21.00,t,t,t
1.00,1.00,Bridgeport,1.00,t,t,t
1.00,1.00,Chinatown,21.00,t,t,t
1.00,1.00,Chinatown,21.00,t,t,t
N/A,N/A,Irving Park,0.00,t,f,f
1.00,0.95,Humboldt Park,2.00,t,t,t
1.00,0.89,South Shore,2.00,t,t,f
N/A,N/A,,2.00,t,t,f
N/A,N/A,Gold Coast,0.00,t,f,f
1.00,0.90,,0.00,t,t,t
0.95,0.91,Bucktown,70.00,t,t,f
0.95,0.91,Bucktown,70.00,t,t,f
N/A,N/A,River North,0.00,t,t,f
1.00,1.00,Irving Park,0.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.84,Central Minneapolis,93.00,t,t,f
1.00,0.84,Central Minneapolis,93.00,t,t,f
N/A,N/A,,2.00,t,f,f
1.00,0.92,Uptown,2.00,t,t,t
1.00,0.92,River North,35.00,t,t,f
1.00,0.90,River West,0.00,t,f,f
N/A,N/A,,2.00,t,t,f
1.00,0.94,Loop,3.00,t,t,f
1.00,0.98,Edgewater,52.00,t,t,t
1.00,0.68,Logan Square,5.00,t,t,t
0.99,0.76,Hyde Park,24.00,t,t,f
1.00,0.81,Lake View East,95.00,t,t,f
0.98,0.80,Lincoln Square,14.00,t,t,f
1.00,0.98,Lincoln Park,2.00,t,t,f
1.00,1.00,Portage Park,1.00,t,t,f
1.00,0.94,Logan Square,2.00,t,t,f
1.00,0.93,Near West Side,4.00,t,t,f
1.00,1.00,,1.00,t,t,t
1.00,0.92,River North,35.00,t,t,f
1.00,1.00,Andersonville,1.00,t,t,t
N/A,N/A,,1.00,t,t,t
0.91,0.99,Financial District,127.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.99,0.76,Hyde Park,24.00,t,t,f
N/A,N/A,Sheridan Park,14.00,t,f,f
N/A,N/A,Sheridan Park,14.00,t,f,f
1.00,1.00,Logan Square,1.00,t,t,f
1.00,0.80,West Town/Noble Square,6.00,t,t,t
0.91,0.99,Financial District,127.00,t,t,f
0.91,0.99,Financial District,127.00,t,t,f
0.91,0.99,Financial District,127.00,t,t,f
1.00,0.98,Irving Park,5.00,t,t,f
0.90,1.00,Woodlawn,2.00,t,t,t
N/A,N/A,,1.00,t,t,f
1.00,1.00,Pilsen,1.00,t,t,f
1.00,0.93,Lincoln Park,0.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.97,0.91,Talbot's Corner,12.00,t,t,f
1.00,0.84,Central Minneapolis,93.00,t,t,f
N/A,N/A,Sheridan Park,14.00,t,f,f
1.00,1.00,Ravenswood,1.00,t,t,f
1.00,0.92,Old Town,10.00,t,t,t
1.00,0.53,Loop,97.00,t,t,t
1.00,0.96,Ukrainian Village,2.00,t,t,t
1.00,0.82,Bridgeport,1.00,t,f,t
N/A,1.00,Roscoe Village,2.00,t,t,t
1.00,0.98,Irving Park,5.00,t,t,f
0.83,0.38,River North,35.00,t,f,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.93,Lakeview,2.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.96,Bronzeville,2.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.89,1.00,River North,1.00,t,t,f
1.00,0.82,Fulton Market,15.00,t,t,t
1.00,0.84,Lincoln Park,8.00,t,t,f
1.00,1.00,,1.00,t,t,t
0.93,0.98,Ukrainian Village,2.00,t,f,f
1.00,0.81,Irving Park,1.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.81,0.97,River North,6.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.99,0.76,Hyde Park,24.00,t,t,f
1.00,0.99,West Town/Noble Square,0.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,1.00,Bucktown,2.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.70,0.99,Chicago Loop,0.00,t,t,f
1.00,0.80,Near West Side,0.00,t,f,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.98,Lincoln Park,2.00,t,t,f
0.99,0.74,Shaw,68.00,t,f,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.69,Oakland,1.00,t,f,f
1.00,1.00,Lincoln Park,1.00,t,f,t
0.92,0.72,North Center,4.00,t,f,f
0.90,0.94,Rogers Park,3.00,t,t,f
1.00,1.00,West Town/Noble Square,4.00,t,f,t
1.00,1.00,West Town/Noble Square,1.00,t,f,t
1.00,1.00,Logan Square,0.00,t,t,f
1.00,0.94,Englewood,0.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.96,West Loop,0.00,t,f,t
0.99,0.80,Lakeview,89.00,t,t,f
1.00,1.00,South Side,2.00,t,f,f
1.00,0.81,Eisenhower West,290.00,t,t,f
1.00,0.98,Wicker Park,0.00,t,t,t
1.00,1.00,Grand Crossing,6.00,t,t,f
1.00,0.98,Edgewater,52.00,t,t,t
1.00,0.98,Rogers Park,0.00,t,f,t
1.00,0.67,West Town,1.00,t,t,f
N/A,N/A,Orange,0.00,t,f,f
1.00,0.00,Logan Square,1.00,t,t,t
1.00,1.00,Uptown,1.00,t,t,t
1.00,0.53,Loop,97.00,t,t,t
N/A,N/A,Logan Square,1.00,t,f,f
1.00,0.64,Bronzeville,5.00,t,t,f
1.00,0.53,Loop,97.00,t,t,t
N/A,0.75,West Town,1.00,t,t,f
1.00,1.00,Ukrainian Village,0.00,t,t,t
1.00,N/A,Washington Park,4.00,t,t,f
1.00,N/A,Washington Park,4.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.74,Logan Square,7.00,t,t,t
1.00,0.74,Logan Square,7.00,t,t,t
0.90,0.96,Irving Woods,0.00,t,t,t
0.08,0.54,South Shore,1.00,t,t,f
1.00,0.79,River North,6.00,t,t,f
0.90,1.00,River North,0.00,t,t,f
1.00,0.97,Lakeview,43.00,t,t,f
1.00,0.79,River North,6.00,t,t,f
1.00,1.00,Irving Park,29.00,t,t,t
1.00,1.00,River North,1.00,t,t,f
1.00,0.79,River North,6.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.83,0.33,West Town/Noble Square,4.00,t,t,t
1.00,1.00,Grand Crossing,6.00,t,t,f
1.00,0.93,Near West Side,4.00,t,t,f
1.00,1.00,Lincoln Park,1.00,t,f,t
0.00,0.44,Oakland,1.00,t,t,f
N/A,N/A,Pilsen,1.00,t,t,f
1.00,0.68,Logan Square,5.00,t,t,t
0.98,0.99,River North,3.00,t,t,f
1.00,0.68,Logan Square,5.00,t,t,t
1.00,0.96,Lincoln Park,1.00,t,t,t
N/A,1.00,,3.00,t,t,t
1.00,1.00,North Center,0.00,t,t,t
1.00,0.95,Logan Square,0.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
0.91,0.99,Financial District,127.00,t,t,f
0.00,0.01,Loop,4.00,t,f,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.00,West Town,1.00,t,t,f
0.98,0.99,River North,3.00,t,t,f
0.95,0.96,South Shore,2.00,t,t,f
0.98,0.80,Lincoln Square,14.00,t,t,f
1.00,1.00,Logan Square,0.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.81,Lake View East,95.00,t,t,f
1.00,1.00,Ukrainian Village,2.00,t,f,f
1.00,0.25,Uptown,1.00,t,t,f
1.00,1.00,Lincoln Park,2.00,t,t,t
1.00,1.00,Uptown,1.00,t,t,t
0.80,0.81,Lincoln Park,4.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.96,Ukrainian Village,2.00,t,t,t
1.00,0.98,West Town/Noble Square,7.00,t,t,f
1.00,1.00,Andersonville,2.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.92,River North,35.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.80,Portage Park,27.00,t,t,f
0.99,0.80,Lakeview,89.00,t,t,f
1.00,0.92,Old Town,10.00,t,t,t
1.00,1.00,Casco Antiguo,2.00,t,t,t
N/A,1.00,Rogers Park,1.00,t,f,t
0.92,0.98,Loop,8.00,t,t,f
1.00,0.94,,1.00,t,t,t
1.00,0.50,Jefferson Park,1.00,t,t,t
1.00,0.91,West Town/Noble Square,2.00,t,t,t
0.99,0.99,River North,25.00,t,t,f
0.90,0.98,Rogers Park,2.00,t,t,f
1.00,0.40,West Town/Noble Square,0.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.98,0.80,Lincoln Square,14.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.92,0.98,Loop,8.00,t,t,f
1.00,0.87,Chicago Loop,0.00,t,f,f
0.99,0.80,Lakeview,89.00,t,t,f
0.80,0.00,Uptown,1.00,t,t,f
1.00,0.53,Loop,97.00,t,t,t
N/A,1.00,Logan Square,1.00,t,t,f
1.00,0.71,Irving Park,12.00,t,t,t
1.00,1.00,West Loop/Greektown,1.00,t,t,t
1.00,0.77,Lincoln Park,2.00,t,t,f
1.00,0.00,Andersonville,1.00,t,t,f
1.00,1.00,Lakeview,3.00,t,t,t
1.00,1.00,,1.00,t,t,t
N/A,N/A,,0.00,t,f,f
N/A,N/A,Hyde Park,1.00,t,t,t
1.00,1.00,West Town/Noble Square,4.00,t,f,t
1.00,0.94,Bucktown,5.00,t,f,f
1.00,1.00,Lakeview,3.00,t,t,t
N/A,N/A,Old Town,1.00,t,t,t
1.00,0.80,Logan Square,2.00,t,t,f
1.00,0.77,Bronzeville,5.00,t,t,t
N/A,N/A,Logan Square,1.00,t,t,t
N/A,N/A,Lakeview,2.00,t,t,t
0.60,0.80,Austin,4.00,t,t,f
1.00,0.93,,1.00,t,t,t
1.00,0.62,Back of the Yards,3.00,t,t,f
1.00,1.00,Wicker Park,1.00,t,t,t
N/A,N/A,,2.00,t,t,f
1.00,0.91,Bronzeville,2.00,t,t,t
N/A,N/A,Edgewater,0.00,t,t,f
1.00,0.63,,1.00,t,t,t
1.00,0.93,Andersonville,4.00,t,t,t
1.00,N/A,River North,0.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.00,0.00,Rogers Park,0.00,t,t,f
0.90,0.90,Marshall Square,1.00,t,t,t
0.96,1.00,Lake View East,3.00,t,f,f
N/A,1.00,West Loop,0.00,t,t,f
1.00,1.00,Near West Side,3.00,t,t,f
1.00,0.85,Old Irving Park,1.00,t,f,f
0.20,0.50,Near South Side,1.00,t,f,f
1.00,0.81,Lake View East,95.00,t,t,f
0.95,0.78,Greater Grand Crossing,10.00,t,t,t
1.00,1.00,Lake View,0.00,t,f,f
0.86,0.90,Douglas,2.00,t,t,f
0.95,0.90,South Shore,3.00,t,t,f
1.00,0.68,Logan Square,5.00,t,t,t
1.00,0.98,Edgewater,0.00,t,t,t
1.00,0.84,Lakeview,1.00,t,t,t
N/A,0.00,,6.00,t,t,f
1.00,0.92,River North,35.00,t,t,f
1.00,0.96,Rogers Park,1.00,t,t,f
0.79,0.90,Lake View East,0.00,t,t,f
N/A,1.00,Hyde Park,2.00,t,t,t
0.90,0.72,Lincoln Park,3.00,t,t,f
1.00,0.90,,1.00,t,t,t
0.96,0.95,Loop,10.00,t,t,f
0.96,0.95,Loop,10.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
N/A,N/A,Orange,0.00,t,f,f
0.99,0.83,Avondale,12.00,t,t,t
1.00,0.99,Lake View East,6.00,t,t,f
1.00,0.88,Rush & Division,0.00,t,t,f
1.00,0.98,Lincoln Park,1.00,t,t,t
1.00,0.80,Portage Park,27.00,t,t,f
1.00,0.90,Wicker Park,11.00,t,t,t
1.00,0.90,Wicker Park,11.00,t,t,t
1.00,0.92,River North,35.00,t,t,f
1.00,1.00,Loop,5.00,t,t,f
1.00,1.00,Loop,5.00,t,t,f
0.91,0.99,Financial District,127.00,t,t,f
1.00,0.98,West Town/Noble Square,7.00,t,t,f
1.00,1.00,Little Italy,25.00,t,t,f
1.00,0.96,South Shore,0.00,t,f,t
1.00,1.00,Little Italy,25.00,t,t,f
1.00,0.81,Lake View East,95.00,t,t,f
1.00,0.34,Irving Park,1.00,t,t,t
N/A,1.00,Logan Square,1.00,t,t,t
N/A,N/A,,2.00,t,t,f
1.00,0.99,West Town/Noble Square,1.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.91,Woodlawn,12.00,t,t,f
1.00,0.63,Douglas,3.00,t,t,f
N/A,N/A,South Loop/Printers Row,1.00,t,t,f
1.00,0.53,Loop,97.00,t,t,t
1.00,0.82,Pilsen,1.00,t,t,t
1.00,0.00,Roscoe Village,1.00,t,t,f
N/A,N/A,Lakeview,1.00,t,t,t
N/A,N/A,Logan Square,2.00,t,t,f
1.00,0.91,Ukrainian Village,1.00,t,f,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,1.00,Irving Park,0.00,t,f,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.92,,2.00,t,t,t
1.00,0.98,Loop,9.00,t,t,t
1.00,0.98,West Town/Noble Square,7.00,t,t,f
1.00,0.88,Rogers Park,4.00,t,t,t
1.00,0.93,Ukrainian Village,1.00,t,t,t
1.00,0.98,Edgewater,52.00,t,t,t
1.00,0.98,Edgewater,52.00,t,t,t
1.00,0.50,,1.00,t,t,f
1.00,0.98,Edgewater,52.00,t,t,t
1.00,0.89,Bucktown,0.00,t,t,t
1.00,0.97,Roscoe Village,1.00,t,t,t
1.00,0.95,Old Town,2.00,t,t,t
1.00,0.95,Old Town,2.00,t,t,t
1.00,0.92,Bridgeport,2.00,t,f,f
1.00,0.80,,0.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.97,North Center,1.00,t,t,t
1.00,0.95,Old Town,2.00,t,t,t
1.00,0.92,River North,35.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.99,0.76,Hyde Park,24.00,t,t,f
0.80,0.81,Lincoln Park,4.00,t,t,f
1.00,0.96,Little Italy/UIC,1.00,t,t,t
0.91,0.99,Financial District,127.00,t,t,f
N/A,N/A,Little Italy/UIC,2.00,t,t,t
1.00,0.72,Portage Park,16.00,t,t,t
0.90,0.36,Roscoe Village,3.00,t,t,t
N/A,N/A,Ukrainian Village,1.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.71,Wicker Park,3.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
N/A,N/A,,1.00,t,t,f
0.96,0.99,Lake View East,21.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.99,0.80,Lakeview,89.00,t,t,f
1.00,0.91,Woodlawn,12.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,1.00,Wicker Park,4.00,t,t,f
0.99,0.74,Shaw,68.00,t,f,f
0.90,0.76,River West,73.00,t,t,f
1.00,0.68,Logan Square,5.00,t,t,t
1.00,N/A,West Town/Noble Square,1.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.79,Beverly Heights,71.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,1.00,Lake View East,0.00,t,f,f
1.00,0.98,Ravenswood,2.00,t,t,t
1.00,1.00,Lake View East,0.00,t,f,f
1.00,1.00,Lake View East,0.00,t,f,f
1.00,0.72,Portage Park,16.00,t,t,t
1.00,0.53,Loop,97.00,t,t,t
0.93,0.98,Wrigleyville,5.00,t,t,f
1.00,1.00,,1.00,t,t,t
N/A,N/A,Bucktown,1.00,t,t,f
1.00,0.94,Irving Park,1.00,t,t,t
0.92,0.98,Loop,8.00,t,t,f
0.75,0.09,,1.00,t,t,f
1.00,0.98,Wicker Park,2.00,t,t,t
1.00,0.98,Wicker Park,2.00,t,t,t
1.00,N/A,,1.00,t,t,f
1.00,0.86,Loop,2.00,t,t,f
1.00,0.46,North Park,3.00,t,t,f
1.00,0.53,Loop,97.00,t,t,t
1.00,N/A,Lakeview,0.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.60,,1.00,t,t,f
1.00,0.86,,0.00,t,t,f
N/A,N/A,Streeterville,0.00,t,f,f
1.00,1.00,Rogers Park,0.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.53,Loop,97.00,t,t,t
1.00,0.53,Loop,97.00,t,t,t
1.00,1.00,Near South Side,0.00,t,t,f
0.80,0.86,Logan Square,0.00,t,t,f
0.92,0.49,Lakeview,2.00,t,t,t
1.00,1.00,Logan Square,1.00,t,t,f
1.00,1.00,Andersonville,1.00,t,f,t
N/A,N/A,Hyde Park,2.00,t,t,t
1.00,0.99,Lakeview,1.00,t,f,t
1.00,1.00,Roscoe Village,1.00,t,t,t
1.00,0.53,Loop,97.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
N/A,N/A,North Center,1.00,t,f,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.93,0.88,Logan Square,3.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
N/A,N/A,Orange,0.00,t,f,f
1.00,0.99,Cambridge,1683.00,t,t,f
N/A,N/A,,1.00,t,t,f
0.98,0.99,Uptown,7.00,t,t,f
N/A,0.96,Ukrainian Village,2.00,t,t,t
N/A,N/A,,1.00,t,t,f
1.00,0.90,Wicker Park,11.00,t,t,t
1.00,0.98,Pilsen,3.00,t,t,t
1.00,0.86,North Center,4.00,t,t,t
1.00,0.92,River North,35.00,t,t,f
1.00,0.98,Bronzeville,1.00,t,t,t
0.90,0.72,Lincoln Park,3.00,t,t,f
0.90,0.86,West Town,0.00,t,t,t
1.00,0.96,Old Town,3.00,t,t,f
1.00,0.53,Loop,97.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.96,Orange,156.00,t,t,f
1.00,0.84,Central Minneapolis,93.00,t,t,f
1.00,0.00,Grand Crossing,4.00,t,t,f
